Date,Price,Open,High,Low,Vol.,Change %,return
10-Sep-17,242.69,237.25,244.4,237.09,1.46M,2.57%,0.025739645
11-Sep-17,245.38,242.69,249.36,242.69,1.29M,1.11%,0.011084099
12-Sep-17,245.38,245.54,248.22,244.64,714.79K,0.00%,0
13-Sep-17,249.52,244.97,250.82,244.24,1.01M,1.69%,0.016871791
14-Sep-17,256.1,249.36,259.84,249.36,1.25M,2.64%,0.026370632
17-Sep-17,255.13,257.56,257.56,251.96,695.59K,-0.38%,-0.003787583
18-Sep-17,250.9,254.96,255.78,250.25,592.41K,-1.66%,-0.016579783
19-Sep-17,250.82,251.06,253.5,250.58,472.55K,-0.03%,-0.000318852
20-Sep-17,247.49,250.82,250.82,246.27,612.61K,-1.33%,-0.013276453
21-Sep-17,247.73,247.33,249.36,246.27,376.49K,0.10%,0.000969736
24-Sep-17,252.77,247.57,253.91,247.57,398.08K,2.03%,0.02034473
25-Sep-17,249.76,252.77,253.5,249.28,626.12K,-1.19%,-0.011908059
26-Sep-17,250.01,249.44,251.88,248.63,364.44K,0.10%,0.001000961
27-Sep-17,250.25,249.44,251.06,249.03,542.21K,0.10%,0.000959962
28-Sep-17,248.63,249.03,250.98,248.06,431.08K,-0.65%,-0.006473526
2-Oct-17,246.19,250.9,250.9,243.99,437.20K,-0.98%,-0.00981378
3-Oct-17,245.46,247,247,244.97,471.81K,-0.30%,-0.002965189
4-Oct-17,245.38,247.81,247.81,244.64,522.27K,-0.03%,-0.000325919
5-Oct-17,247,245.38,247.81,244.56,344.70K,0.66%,0.006602005
8-Oct-17,249.36,247.81,249.84,246.19,662.60K,0.96%,0.009554656
9-Oct-17,247.41,249.52,250.98,247,602.04K,-0.78%,-0.007820019
10-Oct-17,247.33,247.24,248.22,246.19,328.44K,-0.03%,-0.00032335
11-Oct-17,246.19,247.33,247.81,244.56,396.90K,-0.46%,-0.004609227
12-Oct-17,244.4,247.49,247.49,243.02,430.94K,-0.73%,-0.007270807
15-Oct-17,243.26,245.38,245.38,238.88,780.13K,-0.47%,-0.004664484
16-Oct-17,241.31,245.21,245.21,239.69,295.97K,-0.80%,-0.008016114
17-Oct-17,240.74,241.39,241.39,237.25,815.23K,-0.24%,-0.002362107
18-Oct-17,241.56,241.31,242.13,239.93,350.93K,0.34%,0.003406164
19-Oct-17,243.1,241.64,244.56,241.48,395.11K,0.64%,0.006375228
22-Oct-17,243.59,243.1,244.16,241.64,325.67K,0.20%,0.002015631
23-Oct-17,241.72,243.02,243.75,241.31,394.93K,-0.77%,-0.007676834
24-Oct-17,241.07,242.94,242.94,240.58,297.95K,-0.27%,-0.002689062
25-Oct-17,239.53,240.74,242.04,239.28,379.35K,-0.64%,-0.006388186
26-Oct-17,236.84,241.31,241.31,236.28,487.98K,-1.12%,-0.011230326
29-Oct-17,239.44,239.69,241.31,235.63,350.07K,1.10%,0.010977875
30-Oct-17,240.66,239.69,241.48,238.88,536.64K,0.51%,0.005095222
31-Oct-17,241.64,239.77,242.29,239.69,312.26K,0.41%,0.004072135
1-Nov-17,240.26,241.72,241.72,239.77,308.01K,-0.57%,-0.005710975
2-Nov-17,240.91,241.96,241.96,239.93,382.38K,0.27%,0.002705402
5-Nov-17,240.58,240.58,241.88,240.42,439.82K,-0.14%,-0.001369806
6-Nov-17,241.23,240.58,241.31,240.5,476.62K,0.27%,0.002701804
7-Nov-17,241.39,241.31,241.8,240.83,786.54K,0.07%,0.000663267
9-Nov-17,243.6,256.88,256.88,241.42,990.47K,0.92%,0.009155309
12-Nov-17,241.42,243.6,243.69,241.16,660.68K,-0.89%,-0.008949097
13-Nov-17,242.12,241.33,244.56,241.16,783.24K,0.29%,0.002899511
14-Nov-17,249.89,244.39,251.55,242.12,1.42M,3.21%,0.032091525
15-Nov-17,256.53,251.9,258.01,251.9,1.56M,2.66%,0.026571692
16-Nov-17,259.59,257.49,260.28,256.88,1.16M,1.19%,0.011928429
19-Nov-17,263.34,260.98,265.53,259.85,1.00M,1.44%,0.014445857
20-Nov-17,271.46,264.65,271.81,263.78,1.83M,3.08%,0.030834662
21-Nov-17,266.4,270.77,270.77,265.96,847.90K,-1.86%,-0.018639947
22-Nov-17,267.36,265.53,269.89,265.26,1.18M,0.36%,0.003603604
23-Nov-17,266.84,267.27,270.42,265.79,709.48K,-0.19%,-0.001944943
26-Nov-17,266.49,269.63,269.8,265.09,519.30K,-0.13%,-0.001311647
27-Nov-17,264.56,266.4,266.84,263.95,546.36K,-0.72%,-0.007242298
28-Nov-17,264.04,266.22,266.22,262.47,445.40K,-0.20%,-0.001965528
29-Nov-17,262.9,263.78,264.65,262.56,366.65K,-0.43%,-0.004317528
30-Nov-17,263.6,262.99,264.21,262.82,663.59K,0.27%,0.002662609
3-Dec-17,262.73,264.56,264.56,262.21,283.76K,-0.33%,-0.003300455
4-Dec-17,268.32,262.12,268.93,262.03,999.40K,2.13%,0.021276596
5-Dec-17,267.1,268.15,268.23,266.75,373.47K,-0.45%,-0.00454681
6-Dec-17,271.12,267.45,271.81,266.84,1.42M,1.51%,0.015050543
7-Dec-17,269.54,271.12,271.99,269.11,258.05K,-0.58%,-0.005827678
10-Dec-17,266.75,268.23,269.54,265.96,255.39K,-1.04%,-0.010350968
11-Dec-17,264.3,266.4,266.75,263.87,466.10K,-0.92%,-0.00918463
12-Dec-17,265.61,263.95,266.4,263.08,668.77K,0.50%,0.004956489
13-Dec-17,264.04,265.53,265.96,262.99,256.77K,-0.59%,-0.005910922
14-Dec-17,263.69,263.95,265.09,263.08,288.69K,-0.13%,-0.001325557
17-Dec-17,263.08,263.43,263.78,262.82,207.06K,-0.23%,-0.002313322
18-Dec-17,262.9,263.08,263.34,262.29,726.80K,-0.07%,-0.000684203
19-Dec-17,262.38,263.17,263.6,261.94,403.98K,-0.20%,-0.001977938
20-Dec-17,261.68,262.21,262.38,261.42,703.72K,-0.27%,-0.002667886
21-Dec-17,262.64,262.03,264.65,260.28,395.19K,0.37%,0.003668603
24-Dec-17,262.99,262.64,263.78,259.85,283.80K,0.13%,0.001332623
26-Dec-17,260.63,262.99,264.39,260.28,421.44K,-0.90%,-0.008973725
27-Dec-17,260.46,261.25,261.94,260.28,301.82K,-0.07%,-0.000652266
28-Dec-17,263.6,260.46,263.87,260.02,741.44K,1.21%,0.012055594
