Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend,score,return
1-Aug-18,392.4,392.9,393.9,390.1,145.32K,0.56%,392.32,391.1606505,388.515265,400.1893048,-11.67403987,47.22222222,41.40778484,-47.22222222,0,0.5,0.005638134
2-Aug-18,389.4,390,393,387.2,161.39K,-0.76%,392.38,390.9405692,390.1008569,399.4906417,-9.389784888,35.31746032,40.82072105,-35.31746032,0,0.5,-0.00764526
5-Aug-18,389.4,389.4,389.4,389.4,-,0.00%,392.8,390.747998,391.5632497,398.1668115,-6.603561777,19.7044335,34.08137201,-19.7044335,0,1,0
6-Aug-18,376.6,380.1,380.1,373,190.32K,-3.29%,392.04,388.9794983,392.1928435,396.0209601,-3.828116555,11.00917431,22.01035604,-11.00917431,1,0.5,-0.032871084
7-Aug-18,381.1,376,383,375.2,133.10K,1.19%,390.9333333,387.994561,392.5812381,393.6058401,-1.024601985,24.7706422,18.49475,-24.7706422,0,0.5,0.011949018
8-Aug-18,374.1,381.5,382.1,373.4,295.31K,-1.84%,389.1266667,386.2577409,392.7460833,391.3301101,1.415973263,3.363914373,13.0479103,-3.363914373,0,0.5,-0.018367882
9-Aug-18,363.8,374.2,374.2,359.2,409.95K,-2.75%,386.5933333,383.4505233,392.4528229,390.4013463,2.051476605,9.892473118,12.67567656,-9.892473118,0,0.5,-0.027532745
12-Aug-18,353.9,364,366,350.6,397.62K,-2.72%,383.7466667,379.7567078,391.69622,390.076178,1.620042029,6.90376569,6.720051061,-6.90376569,1,0,-0.027212754
13-Aug-18,358.2,353.9,360.3,352.5,136.25K,1.22%,381.2733333,377.0621194,391.4091925,389.8041558,1.605036776,16.37931034,11.05851638,-16.37931034,1,0.5,0.012150325
14-Aug-18,366.6,359.6,368.2,359.3,168.89K,2.35%,379.4533333,375.7543544,391.0955435,388.5161363,2.579407179,34.48275862,19.25527822,-34.48275862,1,0.5,0.023450586
16-Aug-18,375,369.5,377.2,368,162.47K,2.29%,378.4266667,375.6600601,390.9836005,387.5391193,3.444481281,56.35103926,35.73770274,-56.35103926,0,1,0.022913257
19-Aug-18,373.8,375,379,373.6,81.25K,-0.32%,377.5866667,375.4275526,391.1606505,387.6592294,3.501421121,53.57967667,48.13782485,-53.57967667,1,1,-0.0032
20-Aug-18,375.4,374,376.8,370,78.54K,0.43%,376.6533333,375.4241085,390.9405692,387.0893257,3.851243481,57.27482679,55.73518091,-57.27482679,1,0.5,0.004280364
26-Aug-18,377.7,375,378.9,375,62.58K,0.61%,375.9066667,375.708595,390.747998,387.20316,3.544838046,62.58660508,57.81370285,-62.58660508,1,0.5,0.006126798
27-Aug-18,383,377.7,384.9,377.7,136.06K,1.40%,375.4266667,376.6200206,388.9794983,388.515265,0.46423329,74.82678984,64.8960739,-74.82678984,1,0.5,0.014032301
28-Aug-18,389.9,383.5,391.2,383.5,180.03K,1.80%,375.26,378.280018,387.994561,390.1008569,-2.106295871,92.68867925,76.70069139,-92.68867925,0,0.5,0.018015666
