"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2019","248.32","246.92","249.44","246.92","389.58K","0.00%"
"Feb 11, 2019","248.32","248.60","250.19","247.38","314.48K","-0.45%"
"Feb 10, 2019","249.44","248.60","251.03","247.94","270.22K","-0.04%"
"Feb 07, 2019","249.53","246.92","250.47","246.26","396.67K","1.13%"
"Feb 06, 2019","246.73","249.53","252.15","245.98","607.46K","-0.94%"
"Feb 05, 2019","249.07","250.47","250.47","248.13","257.72K","-0.26%"
"Feb 04, 2019","249.72","248.60","251.21","246.73","320.28K","0.19%"
"Feb 03, 2019","249.25","246.45","249.91","245.70","299.35K","1.29%"
"Jan 31, 2019","246.07","249.72","250.84","245.42","479.61K","-1.32%"
"Jan 30, 2019","249.35","255.14","255.14","247.57","489.23K","-2.13%"
"Jan 29, 2019","254.77","254.77","255.23","253.93","604.27K","0.33%"
"Jan 28, 2019","253.93","251.68","254.86","250.09","1.13M","0.89%"
"Jan 27, 2019","251.68","249.35","252.24","248.69","433.67K","1.62%"
"Jan 24, 2019","247.66","250.47","250.47","247.10","566.97K","-0.79%"
"Jan 23, 2019","249.63","250.19","251.31","248.60","431.15K","-0.26%"
"Jan 22, 2019","250.28","247.38","252.15","247.01","1.19M","1.52%"
"Jan 21, 2019","246.54","245.33","247.20","245.14","982.29K","0.53%"
"Jan 20, 2019","245.23","246.73","247.48","244.95","191.41K","-0.61%"
"Jan 17, 2019","246.73","247.94","248.13","246.26","380.00K","-0.49%"
"Jan 16, 2019","247.94","246.64","250.47","245.79","592.60K","0.45%"
"Jan 15, 2019","246.82","244.95","247.57","244.95","570.60K","0.88%"
"Jan 14, 2019","244.67","246.54","246.54","244.30","469.29K","-0.53%"
"Jan 13, 2019","245.98","245.98","246.64","245.23","295.90K","0.19%"
"Jan 10, 2019","245.51","245.70","246.73","244.21","425.91K","0.34%"
"Jan 09, 2019","244.67","242.90","245.33","242.80","722.17K","1.12%"
"Jan 08, 2019","241.96","240.19","243.08","240.00","362.66K","0.82%"
"Jan 07, 2019","240.00","241.87","242.43","238.88","481.69K","-0.43%"
"Jan 06, 2019","241.03","238.32","241.96","238.22","368.91K","1.22%"
"Jan 03, 2019","238.13","237.38","238.97","236.36","477.81K","0.59%"
"Jan 02, 2019","236.73","237.38","238.32","235.51","481.20K","-0.16%"
"Jan 01, 2019","237.10","238.32","238.69","236.54","175.69K","-0.20%"
