Date,Price,Open,High,Low,Vol.,Change %
21-Oct-19,315.4,318.7,321.3,314.5,125.83K,-1.04%
22-Oct-19,321.6,320,325,316,213.03K,1.97%
23-Oct-19,322.7,321.6,324.9,319,523.92K,0.34%
24-Oct-19,327.6,324,328.8,320.2,273.87K,1.52%
27-Oct-19,324.4,327.6,330.9,320,64.58K,-0.98%
28-Oct-19,322.8,326,326,321.8,56.07K,-0.49%
29-Oct-19,322.1,322.5,323,320.2,52.30K,-0.22%
30-Oct-19,319.6,321.2,322.4,318,61.61K,-0.78%
31-Oct-19,317.5,319.6,324,316.3,87.41K,-0.66%
3-Nov-19,316.5,317,317.6,315.5,74.53K,-0.31%
4-Nov-19,314.5,315.1,316.5,313.3,88.18K,-0.63%
5-Nov-19,313.1,313.1,316,312.5,83.86K,-0.45%
6-Nov-19,312.9,313,315,312.1,135.70K,-0.06%
7-Nov-19,313.3,312.1,314.2,312.1,69.45K,0.13%
11-Nov-19,313.9,315.9,315.9,313.1,74.36K,0.19%
12-Nov-19,315.1,315,317.9,313.9,129.13K,0.38%
13-Nov-19,310.1,314.6,315.7,310,135.97K,-1.59%
14-Nov-19,306.2,310.1,312.5,303.1,189.93K,-1.26%
17-Nov-19,310.1,311,312,306.4,68.40K,1.27%
18-Nov-19,310.5,310.7,312.9,308.2,197.68K,0.13%
19-Nov-19,323,311.5,327,310.2,750.29K,4.03%
20-Nov-19,323.1,323.1,325.9,320.5,663.95K,0.03%
21-Nov-19,329.5,325,333,324.9,647.25K,1.98%
24-Nov-19,312,328.9,328.9,309.3,286.75K,-5.31%
25-Nov-19,307.8,312,312,301.1,349.81K,-1.35%
26-Nov-19,306.2,306,311.1,304,175.24K,-0.52%
27-Nov-19,319.9,306.5,323,306.5,220.55K,4.47%
28-Nov-19,318.2,320,322.4,315,93.54K,-0.53%
1-Dec-19,311.4,318,318,310,40.86K,-2.14%
2-Dec-19,311.2,310.1,316,310.1,71.51K,-0.06%
3-Dec-19,307.3,311.4,312.7,305.6,199.19K,-1.25%
4-Dec-19,307,310,310,306.3,95.87K,-0.10%
5-Dec-19,307.4,306,310,305,57.54K,0.13%
8-Dec-19,305.9,309.8,309.8,305,32.34K,-0.49%
9-Dec-19,302.6,308,308,301.4,143.40K,-1.08%
10-Dec-19,299.1,304,304,298.1,120.59K,-1.16%
11-Dec-19,299,298.4,303.9,298.1,42.11K,-0.03%
12-Dec-19,296.9,298.4,299.5,295.9,106.12K,-0.70%
15-Dec-19,300,296.9,300.5,296,18.89K,1.04%
17-Dec-19,291.1,297.2,299.8,288.2,144.86K,-2.97%
18-Dec-19,290,292,292,285.4,122.14K,-0.38%
19-Dec-19,293.3,291.1,294.9,291.1,55.84K,1.14%
22-Dec-19,284.2,293,293,283,87.38K,-3.10%
23-Dec-19,288.8,284.2,296,275.5,310.36K,1.62%
24-Dec-19,287.2,285,292.3,285,95.27K,-0.55%
26-Dec-19,286.9,288,289.9,284,127.08K,-0.10%
29-Dec-19,285.8,284.3,287.5,284.3,114.28K,-0.38%
30-Dec-19,285.8,285.8,286.5,285,167.12K,0.00%
