Date,Price,Open,High,Low,Vol.,Change %
11-Sep-12,52.8,53.71,53.93,52.69,6.58M,-1.75%
12-Sep-12,52.82,52.68,53.32,52.68,4.83M,0.04%
13-Sep-12,53.89,52.64,53.97,52.58,6.32M,2.03%
14-Sep-12,54.25,54.7,55.27,53.77,15.74M,0.67%
17-Sep-12,54.48,54.59,54.64,54.01,5.48M,0.42%
18-Sep-12,55.13,54.33,55.43,54.3,6.60M,1.19%
19-Sep-12,54.95,55.06,55.32,54.73,6.20M,-0.33%
20-Sep-12,54.94,54.69,54.97,54.41,5.78M,-0.02%
21-Sep-12,56.18,55.09,56.22,54.91,26.64M,2.26%
24-Sep-12,55.98,56.08,56.64,55.85,6.44M,-0.36%
25-Sep-12,56.2,56.22,56.5,55.84,6.34M,0.39%
26-Sep-12,55.78,56.34,56.75,55.75,5.56M,-0.75%
27-Sep-12,56.24,56.29,56.44,55.7,4.25M,0.82%
28-Sep-12,55.41,55.95,55.98,55.18,5.84M,-1.48%
1-Oct-12,56.46,55.72,56.56,55.52,4.42M,1.89%
2-Oct-12,56.8,56.46,56.89,56.31,3.83M,0.60%
3-Oct-12,56.86,56.98,57.15,56.63,4.66M,0.11%
4-Oct-12,57.97,57.15,58.15,57.01,6.90M,1.95%
5-Oct-12,57.13,58.1,58.15,56.84,6.08M,-1.45%
8-Oct-12,57.6,57.59,58.29,57.32,6.05M,0.82%
9-Oct-12,57.47,57.6,57.84,57.1,5.09M,-0.23%
10-Oct-12,57.11,57.42,57.76,56.93,4.14M,-0.63%
11-Oct-12,57.66,57.54,58.18,57.33,5.04M,0.96%
12-Oct-12,57.07,57.75,57.75,56.92,4.28M,-1.02%
15-Oct-12,57.49,57.14,57.79,56.92,4.19M,0.74%
16-Oct-12,56.88,57.19,57.85,56.26,7.53M,-1.06%
17-Oct-12,55.99,57.58,57.7,55.65,6.26M,-1.56%
18-Oct-12,56.01,55.8,56.43,55.76,5.38M,0.04%
19-Oct-12,55.66,56.01,56.09,55.37,5.70M,-0.62%
22-Oct-12,56.54,55.52,56.63,55.45,5.72M,1.58%
23-Oct-12,56.18,56.08,56.32,55.35,5.56M,-0.64%
24-Oct-12,55.92,56.44,56.67,55.77,4.54M,-0.46%
25-Oct-12,56.21,55.94,56.72,55.8,4.70M,0.52%
26-Oct-12,55.78,56.14,56.26,55.34,3.35M,-0.76%
31-Oct-12,56,56.14,56.16,55.51,4.16M,0.39%
1-Nov-12,56.95,55.86,57.09,55.86,4.84M,1.70%
2-Nov-12,56.05,57.02,57.24,55.99,4.95M,-1.58%
5-Nov-12,55.28,56.26,56.4,54.83,6.15M,-1.37%
6-Nov-12,56.39,55.28,56.49,54.65,4.88M,2.01%
7-Nov-12,54.26,55.38,55.4,53.39,13.82M,-3.78%
8-Nov-12,53.44,54.35,54.98,53.42,8.85M,-1.51%
9-Nov-12,52.9,53.36,54,52.64,8.59M,-1.01%
12-Nov-12,52.2,53.04,53.51,52.05,5.94M,-1.32%
13-Nov-12,52.19,52.04,52.98,52,5.67M,-0.02%
14-Nov-12,51.25,52.39,52.43,51.09,5.79M,-1.80%
15-Nov-12,51.25,51.27,51.72,51.09,6.67M,0.00%
16-Nov-12,51.9,51.25,52.19,51.14,6.39M,1.27%
19-Nov-12,52.91,52.23,52.91,51.85,5.87M,1.95%
20-Nov-12,53.14,52.92,53.18,52.66,4.74M,0.43%
21-Nov-12,53.53,53.2,53.7,52.82,5.10M,0.73%
23-Nov-12,53.92,53.67,53.93,53.5,1.71M,0.73%
26-Nov-12,53.53,52.99,53.61,52.76,5.69M,-0.72%
27-Nov-12,52.59,53.13,53.83,52.55,7.86M,-1.76%
28-Nov-12,52.75,52.27,53.23,52.24,5.74M,0.30%
29-Nov-12,54.36,53.26,54.59,53,10.91M,3.05%
30-Nov-12,54.39,54.18,54.88,54.07,7.82M,0.06%
3-Dec-12,53.89,54.56,54.95,53.83,3.86M,-0.92%
4-Dec-12,53.54,53.96,54.24,53.52,5.95M,-0.65%
5-Dec-12,53.84,53.73,54.23,53.61,4.50M,0.56%
6-Dec-12,53.65,53.9,53.9,53.28,3.78M,-0.35%
7-Dec-12,53.87,53.8,53.9,53.39,4.21M,0.41%
10-Dec-12,54.19,53.87,54.33,53.74,4.11M,0.59%
11-Dec-12,54.76,54.25,54.98,54.08,4.97M,1.05%
12-Dec-12,55.25,55,55.82,54.9,7.05M,0.89%
13-Dec-12,54.38,55.22,55.39,54.31,4.91M,-1.57%
14-Dec-12,54.05,54.17,54.53,53.92,3.47M,-0.61%
17-Dec-12,54.36,54.08,54.55,53.98,6.34M,0.57%
18-Dec-12,54.95,54.62,55.34,54.47,4.64M,1.09%
19-Dec-12,54.49,55.12,55.12,54.43,5.54M,-0.84%
20-Dec-12,55.46,54.48,55.51,54.45,5.03M,1.78%
21-Dec-12,55.03,55.38,55.52,54.43,9.44M,-0.78%
24-Dec-12,54.85,54.8,55.05,54.53,1.71M,-0.33%
26-Dec-12,54.22,54.8,54.85,54.12,3.23M,-1.15%
27-Dec-12,54.44,54.12,54.59,53.95,3.25M,0.41%
28-Dec-12,53.86,54.09,54.64,53.8,3.14M,-1.07%
31-Dec-12,54.24,53.63,54.26,53.49,4.95M,0.71%
