Date,Price,Open,High,Low,Vol.,Change %,trend
23-Nov-12,70.2,69.34,70.24,68.88,5.13M,1.90%,0
26-Nov-12,69.91,70.13,70.23,69.45,9.07M,-0.41%,0
27-Nov-12,69.5,69.9,70.17,69.45,7.38M,-0.59%,1
28-Nov-12,70.56,69.46,70.81,69.29,10.50M,1.53%,1
29-Nov-12,70.83,70.48,71.04,70.13,9.62M,0.38%,1
30-Nov-12,72.02,70.97,72.12,70.85,12.49M,1.68%,0
3-Dec-12,71.34,72.11,72.34,71.34,9.09M,-0.94%,1
4-Dec-12,72.12,71.47,72.6,71.45,12.82M,1.09%,0
5-Dec-12,71.65,71.94,72.02,71.23,9.52M,-0.65%,0
6-Dec-12,71.59,71.67,71.85,71.1,7.17M,-0.08%,1
7-Dec-12,72.29,71.9,72.59,71.85,7.28M,0.98%,0
10-Dec-12,72.15,72.08,72.34,71.79,5.90M,-0.19%,0
11-Dec-12,70.89,72.25,72.7,70.82,14.60M,-1.75%,0
12-Dec-12,68.94,70.2,70.35,68.91,23.40M,-2.75%,1
13-Dec-12,69.04,69.04,69.36,69,14.25M,0.15%,0
14-Dec-12,68.75,69.05,69.3,68.74,10.50M,-0.42%,1
17-Dec-12,69.2,68.96,69.51,68.89,10.53M,0.65%,1
18-Dec-12,69.5,69.11,69.66,68.91,11.59M,0.43%,0
19-Dec-12,68.52,69.43,69.5,68.52,9.97M,-1.41%,1
20-Dec-12,69,68.33,69.06,68.17,9.69M,0.70%,0
21-Dec-12,68.65,68.87,69.16,68.27,13.23M,-0.51%,0
24-Dec-12,68.57,68.51,68.81,68.31,2.91M,-0.12%,0
26-Dec-12,67.99,68.56,68.65,67.73,6.09M,-0.85%,1
27-Dec-12,68.19,68.03,68.42,67.79,7.38M,0.29%,0
28-Dec-12,67.61,67.91,68.35,67.54,5.51M,-0.85%,1
31-Dec-12,68.23,67.49,68.3,67.37,7.01M,0.92%,0
