Date,Price,Open,High,Low,Vol.,Change %,CP,EMA12,EMA26,MACD,K,D,R,trend
16-May-19,101.31,102.83,103.96,100.84,17.12M,1.43%,108.0613333,100.9243534,100.9170498,0.007303544,15.06410256,39.09227524,84.93589744,0
17-May-19,100.86,100.24,101.95,99.91,12.37M,-0.44%,107.884,100.9144529,100.9128239,0.001628938,46.56862745,40.86944659,53.43137255,1
20-May-19,101.52,100.39,101.98,100.25,7.19M,0.65%,107.8833333,101.007614,100.9577999,0.049814031,73.41040462,45.01437821,26.58959538,0
21-May-19,101.12,101.51,101.65,100.4,6.89M,-0.39%,107.854,101.0249041,100.9698147,0.055089371,57.6,59.19301069,42.4,1
22-May-19,102.23,101.6,102.43,101.06,7.34M,1.10%,107.8133333,101.2103035,101.0631618,0.147141682,85.40145985,72.13728816,14.59854015,0
23-May-19,101.86,101.82,101.93,100.93,6.45M,-0.36%,107.8466667,101.3102568,101.1221869,0.188069941,93,78.66715328,7,1
24-May-19,102.67,102.18,102.89,102.08,4.48M,0.80%,107.948,101.5194481,101.2368397,0.282608377,72.83950617,83.74698868,27.16049383,0
28-May-19,102.42,102.56,103.57,102.4,10.27M,-0.24%,107.9706667,101.6579945,101.3244812,0.333513325,1.709401709,55.84963596,98.29059829,0
29-May-19,102.12,102.11,102.88,101.47,6.52M,-0.29%,107.948,101.7290723,101.3834085,0.345663773,46.09929078,40.21606622,53.90070922,1
30-May-19,102.19,102.49,103.49,101.91,5.02M,0.07%,108.0073333,101.7999842,101.443156,0.356828212,17.72151899,21.84340383,82.27848101,0
31-May-19,101.44,101.35,102.02,100.6,5.93M,-0.73%,108.0833333,101.744602,101.4429222,0.301679802,59.15492958,40.99191311,40.84507042,1
